price_id,book_id,price,start_date
88,88,16.38,2023-01-01
89,89,22.12,2023-01-01
90,90,13.95,2023-01-01
91,91,29.53,2023-01-01
92,92,19.52,2023-01-01
93,93,26.04,2023-01-01
94,94,22.13,2023-01-01
95,95,27.44,2023-01-01
96,96,27.69,2023-01-01
97,97,26.1,2023-01-01
98,98,9.61,2023-01-01
99,99,20.64,2023-01-01
100,100,14.87,2023-01-01
101,101,12.18,2023-01-01
102,102,27.83,2023-01-01
103,103,22.79,2023-01-01
104,104,10.83,2023-01-01
105,105,17.02,2023-01-01
106,106,29.16,2023-01-01
107,107,21.85,2023-01-01
108,108,22.13,2023-01-01
109,109,13.77,2023-01-01
110,110,14.04,2023-01-01
111,111,12.2,2023-01-01
112,112,29.37,2023-01-01
113,113,28.09,2023-01-01
114,114,15.9,2023-01-01
115,115,20.38,2023-01-01
116,116,13.33,2023-01-01
117,117,11.9,2023-01-01
118,118,20.36,2023-01-01
119,119,25.79,2023-01-01
120,120,27.1,2023-01-01
121,121,15.48,2023-01-01
122,122,23.8,2023-01-01
123,123,19.99,2023-01-01
124,124,11.83,2023-01-01
125,125,29.9,2023-01-01
126,126,29.48,2023-01-01
127,127,12.04,2023-01-01
128,128,28.58,2023-01-01
129,129,28.25,2023-01-01
130,130,15.66,2023-01-01
131,131,20.69,2023-01-01
132,132,28.91,2023-01-01
133,133,11.48,2023-01-01
134,134,15.66,2023-01-01
135,135,27.46,2023-01-01
136,136,24.26,2023-01-01
137,137,25.06,2023-01-01
138,138,27.47,2023-01-01
139,139,17.68,2023-01-01
140,140,17.63,2023-01-01
141,141,18.29,2023-01-01
142,142,28.6,2023-01-01
143,143,27.77,2023-01-01
144,144,28.59,2023-01-01
145,145,14.74,2023-01-01
146,146,25.35,2023-01-01
147,147,11.23,2023-01-01
148,148,12.87,2023-01-01
149,149,25.0,2023-01-01
150,150,21.84,2023-01-01
151,151,14.59,2023-01-01
152,152,20.9,2023-01-01
153,153,13.84,2023-01-01
154,154,13.87,2023-01-01
155,155,23.42,2023-01-01
156,156,16.53,2023-01-01
157,157,23.44,2023-01-01
158,158,19.0,2023-01-01
159,159,19.54,2023-01-01
160,160,21.69,2023-01-01
161,161,23.94,2023-01-01
162,162,16.84,2023-01-01
163,163,26.88,2023-01-01
164,164,19.31,2023-01-01
165,165,11.88,2023-01-01
166,166,13.05,2023-01-01
167,167,9.67,2023-01-01
168,168,25.05,2023-01-01
169,169,9.31,2023-01-01
170,170,14.66,2023-01-01
171,171,17.66,2023-01-01
172,172,24.58,2023-01-01
173,173,29.74,2023-01-01
174,174,24.9,2023-01-01
175,175,10.38,2023-01-01
176,176,28.46,2023-01-01
177,177,29.69,2023-01-01
178,178,27.2,2023-01-01
179,179,19.28,2023-01-01
180,180,15.81,2023-01-01
181,181,18.6,2023-01-01
182,182,14.17,2023-01-01
183,183,17.49,2023-01-01
184,184,9.87,2023-01-01
185,185,24.43,2023-01-01
186,186,16.98,2023-01-01
187,187,15.56,2023-01-01
188,188,21.83,2023-01-01
189,189,24.58,2023-01-01
190,190,21.46,2023-01-01
191,191,20.02,2023-01-01
192,192,27.38,2023-01-01
193,193,25.52,2023-01-01
194,194,19.92,2023-01-01
195,195,18.47,2023-01-01
196,196,26.36,2023-01-01
197,197,9.88,2023-01-01
198,198,29.9,2023-01-01
199,199,19.88,2023-01-01
200,200,17.3,2023-01-01
201,201,24.43,2023-01-01
202,202,20.7,2023-01-01
203,203,19.83,2023-01-01
204,204,22.23,2023-01-01
205,205,10.03,2023-01-01
206,206,15.1,2023-01-01
207,207,17.35,2023-01-01
208,208,15.39,2023-01-01
209,209,26.37,2023-01-01
210,210,18.68,2023-01-01
211,211,17.86,2023-01-01
212,212,21.87,2023-01-01
213,213,10.14,2023-01-01
214,214,19.85,2023-01-01
215,215,11.98,2023-01-01
216,216,26.42,2023-01-01
217,217,18.48,2023-01-01
218,218,24.17,2023-01-01
219,219,11.37,2023-01-01
220,220,25.34,2023-01-01
221,221,28.68,2023-01-01
222,222,23.61,2023-01-01
223,223,11.83,2023-01-01
224,224,17.67,2023-01-01
225,225,18.46,2023-01-01
226,226,12.75,2023-01-01
227,227,21.39,2023-01-01
228,228,23.96,2023-01-01
229,229,13.23,2023-01-01
230,230,18.54,2023-01-01
231,231,14.24,2023-01-01
232,232,23.52,2023-01-01
233,233,28.04,2023-01-01
234,234,25.72,2023-01-01
235,235,24.08,2023-01-01
236,236,11.58,2023-01-01
237,237,11.39,2023-01-01
238,238,18.43,2023-01-01
239,239,16.61,2023-01-01
240,240,19.99,2023-01-01
241,241,17.06,2023-01-01
242,242,25.6,2023-01-01
243,243,19.73,2023-01-01
244,244,28.93,2023-01-01
245,245,16.94,2023-01-01
246,246,16.98,2023-01-01
247,247,25.12,2023-01-01
248,248,28.15,2023-01-01
249,249,20.87,2023-01-01
250,250,22.84,2023-01-01
251,251,12.14,2023-01-01
252,252,27.24,2023-01-01
253,253,12.75,2023-01-01
254,254,23.94,2023-01-01
255,255,17.8,2023-01-01
256,256,15.49,2023-01-01
257,257,25.13,2023-01-01
258,258,18.36,2023-01-01
259,259,22.15,2023-01-01
260,260,11.46,2023-01-01
261,261,11.75,2023-01-01
262,262,13.25,2023-01-01
263,263,22.06,2023-01-01
264,264,14.31,2023-01-01
265,265,18.62,2023-01-01
266,266,26.95,2023-01-01
267,267,20.4,2023-01-01
268,268,9.11,2023-01-01
269,269,27.53,2023-01-01
270,270,13.99,2023-01-01
271,271,21.36,2023-01-01
272,272,18.98,2023-01-01
273,273,17.6,2023-01-01
274,274,10.66,2023-01-01
275,275,21.59,2023-01-01
276,276,14.13,2023-01-01
277,277,20.48,2023-01-01
278,278,22.01,2023-01-01
279,279,20.7,2023-01-01
280,280,26.32,2023-01-01
281,281,10.02,2023-01-01
282,282,12.1,2023-01-01
283,283,22.71,2023-01-01
284,284,9.76,2023-01-01
285,285,26.92,2023-01-01
286,286,23.0,2023-01-01
287,287,26.59,2023-01-01
288,288,15.26,2023-01-01
289,289,28.32,2023-01-01
290,290,10.02,2023-01-01
291,291,17.75,2023-01-01
292,292,12.73,2023-01-01
293,293,23.1,2023-01-01
294,294,21.82,2023-01-01
295,295,23.51,2023-01-01
296,296,21.48,2023-01-01
297,297,25.52,2023-01-01
298,298,12.72,2023-01-01
299,299,18.55,2023-01-01
300,300,21.15,2023-01-01
301,301,28.55,2023-01-01
302,302,10.95,2023-01-01
303,303,15.28,2023-01-01
304,304,16.73,2023-01-01
305,305,16.95,2023-01-01
306,306,10.41,2023-01-01
307,307,17.96,2023-01-01
308,308,20.55,2023-01-01
309,309,15.14,2023-01-01
310,310,11.82,2023-01-01
311,311,23.58,2023-01-01
312,312,14.75,2023-01-01
313,313,20.06,2023-01-01
314,314,20.01,2023-01-01
315,315,23.6,2023-01-01
316,316,21.84,2023-01-01
317,317,11.29,2023-01-01
318,318,24.31,2023-01-01
319,319,22.2,2023-01-01
320,320,29.72,2023-01-01
321,321,19.15,2023-01-01
322,322,23.45,2023-01-01
323,323,28.6,2023-01-01
324,324,29.7,2023-01-01
325,325,15.02,2023-01-01
326,326,21.78,2023-01-01
327,327,15.64,2023-01-01
328,328,20.02,2023-01-01
329,329,29.89,2023-01-01
330,330,16.42,2023-01-01
331,331,11.71,2023-01-01
332,332,20.81,2023-01-01
333,333,19.9,2023-01-01
334,334,22.26,2023-01-01
335,335,19.33,2023-01-01
336,336,12.77,2023-01-01
337,337,21.79,2023-01-01
338,338,23.87,2023-01-01
339,339,29.55,2023-01-01
340,340,9.02,2023-01-01
341,341,9.49,2023-01-01
342,342,22.12,2023-01-01
343,343,11.47,2023-01-01
344,344,26.8,2023-01-01
345,345,25.78,2023-01-01
346,346,29.97,2023-01-01
347,347,17.68,2023-01-01
348,348,16.0,2023-01-01
349,349,20.76,2023-01-01
350,350,22.38,2023-01-01
351,351,9.23,2023-01-01
352,352,13.21,2023-01-01
353,353,14.9,2023-01-01
354,354,25.58,2023-01-01
355,355,15.45,2023-01-01
356,356,19.63,2023-01-01
357,357,15.79,2023-01-01
358,358,9.12,2023-01-01
359,359,23.39,2023-01-01
360,360,16.16,2023-01-01
361,361,24.2,2023-01-01
362,362,21.93,2023-01-01
363,363,9.6,2023-01-01
364,364,12.68,2023-01-01
365,365,15.93,2023-01-01
366,366,16.09,2023-01-01
367,367,23.11,2023-01-01
368,368,28.23,2023-01-01
369,369,25.73,2023-01-01
370,370,22.55,2023-01-01
371,371,19.1,2023-01-01
372,372,22.16,2023-01-01
373,373,27.72,2023-01-01
374,374,20.27,2023-01-01
375,375,16.03,2023-01-01
376,376,25.45,2023-01-01
377,377,17.68,2023-01-01
378,378,24.58,2023-01-01
379,379,26.53,2023-01-01
380,380,15.28,2023-01-01
381,381,24.21,2023-01-01
382,382,15.62,2023-01-01
383,383,20.24,2023-01-01
384,384,13.36,2023-01-01
385,385,23.39,2023-01-01
386,386,25.78,2023-01-01
387,387,27.64,2023-01-01
388,388,16.42,2023-01-01
389,389,29.35,2023-01-01
390,390,14.88,2023-01-01
391,391,9.64,2023-01-01
392,392,29.65,2023-01-01
393,393,22.15,2023-01-01
394,394,26.68,2023-01-01
395,395,20.98,2023-01-01
396,396,17.17,2023-01-01
397,397,21.49,2023-01-01
398,398,27.15,2023-01-01
399,399,24.77,2023-01-01
400,400,23.8,2023-01-01
401,401,15.59,2023-01-01
402,402,9.65,2023-01-01
403,403,17.68,2023-01-01
404,404,19.43,2023-01-01
405,405,13.98,2023-01-01
406,406,18.48,2023-01-01
407,407,28.96,2023-01-01
408,408,13.53,2023-01-01
409,409,15.34,2023-01-01
410,410,11.35,2023-01-01
411,411,25.47,2023-01-01
412,412,25.32,2023-01-01
413,413,28.17,2023-01-01
414,414,18.31,2023-01-01
415,415,9.51,2023-01-01
416,416,19.13,2023-01-01
417,417,19.49,2023-01-01
418,418,12.98,2023-01-01
419,419,28.39,2023-01-01
420,420,24.37,2023-01-01
421,421,19.99,2023-01-01
422,422,25.28,2023-01-01
423,423,12.0,2023-01-01
424,424,27.3,2023-01-01
425,425,26.25,2023-01-01
426,426,28.69,2023-01-01
427,427,23.2,2023-01-01
428,428,11.78,2023-01-01
429,429,24.21,2023-01-01
430,430,18.64,2023-01-01
431,431,23.98,2023-01-01
432,432,19.96,2023-01-01
433,433,9.08,2023-01-01
434,434,28.57,2023-01-01
435,435,23.42,2023-01-01
436,436,21.47,2023-01-01
437,437,10.82,2023-01-01
438,438,18.79,2023-01-01
439,439,9.96,2023-01-01
440,440,19.92,2023-01-01
441,441,22.83,2023-01-01
442,442,15.55,2023-01-01
443,443,21.12,2023-01-01
444,444,15.55,2023-01-01
445,445,27.72,2023-01-01
446,446,15.73,2023-01-01
447,447,13.03,2023-01-01
448,448,14.8,2023-01-01
449,449,15.69,2023-01-01
450,450,18.25,2023-01-01
451,451,11.46,2023-01-01
452,452,12.13,2023-01-01
453,453,14.74,2023-01-01
454,454,9.31,2023-01-01
455,455,22.07,2023-01-01
456,456,19.79,2023-01-01
457,457,13.33,2023-01-01
458,458,16.35,2023-01-01
459,459,15.68,2023-01-01
460,460,11.96,2023-01-01
461,461,23.78,2023-01-01
462,462,14.94,2023-01-01
463,463,14.13,2023-01-01
464,464,10.49,2023-01-01
465,465,21.87,2023-01-01
466,466,16.1,2023-01-01
467,467,18.31,2023-01-01
468,468,11.72,2023-01-01
469,469,18.88,2023-01-01
470,470,23.18,2023-01-01
471,471,11.21,2023-01-01
472,472,10.12,2023-01-01
473,473,17.95,2023-01-01
474,474,12.75,2023-01-01
475,475,21.51,2023-01-01
476,476,21.44,2023-01-01
477,477,26.55,2023-01-01
478,478,23.68,2023-01-01
479,479,21.93,2023-01-01
480,480,15.55,2023-01-01
481,481,26.16,2023-01-01
482,482,23.96,2023-01-01
483,483,23.08,2023-01-01
484,484,20.19,2023-01-01
485,485,29.44,2023-01-01
486,486,24.86,2023-01-01
487,487,18.77,2023-01-01
488,488,11.76,2023-01-01
489,489,26.06,2023-01-01
490,490,28.3,2023-01-01
491,491,18.82,2023-01-01
492,492,18.56,2023-01-01
493,493,23.36,2023-01-01
494,494,23.9,2023-01-01
495,495,18.76,2023-01-01
496,496,13.86,2023-01-01
497,497,13.69,2023-01-01
498,498,27.07,2023-01-01
499,499,21.95,2023-01-01
500,500,28.16,2023-01-01
